districtId,total_population,population_60_plus,share_60_plus
3461,90035,11381,0.126406397512079
3462,56839,7375,0.129752458699133
4011,542707,62522,0.115203968255431
4012,108156,13675,0.12643773808203
5111,586291,63857,0.108916903039617
5112,488468,56029,0.114703522032149
5113,566201,66988,0.118311341732
5114,222247,26688,0.120082610788897
5116,255188,29729,0.116498424690816
5117,166865,21482,0.128738800827016
5119,210215,24735,0.117665247484718
5120,110708,13584,0.122701159807783
5122,155265,18096,0.116549125688339
5124,342661,39714,0.115898803773992
5154,300990,33522,0.111372470846208
5158,477777,61133,0.127952998993254
5162,437393,51511,0.117768231316002
5166,296176,34329,0.115907433417968
5170,460420,55892,0.121393510273229
5314,305765,29767,0.097352541984858
5315,1005775,101182,0.100601029057195
5316,158984,19408,0.12207517737634
5334,539515,59167,0.109667015745623
5358,258761,29978,0.11585207971835
5362,451515,52338,0.115916414737052
5366,187939,21831,0.116160030648242
5370,248161,27600,0.111218120494356
5374,273011,30892,0.11315294988114
5378,278182,34573,0.124281944913761
5382,578252,66790,0.115503275388585
5512,117311,13108,0.111737177246806
5513,258766,29514,0.114056715333545
5515,289576,25684,0.088695195734453
5554,363754,36529,0.100422263397791
5558,215269,22702,0.105458751608453
5562,619382,73841,0.119217219744842
5566,433660,45811,0.105638057464373
5570,273477,30488,0.111482866932137
5711,326870,35245,0.107825741120323
5754,350419,37069,0.105784789066803
5758,250704,29113,0.116124992022465
5762,145679,16931,0.116221281035702
5766,348681,41431,0.118822075191938
5770,312169,36264,0.116167844981404
5774,294602,27885,0.094653125233366
5911,362286,42377,0.116971122262522
5913,571143,63254,0.110749847236156
5914,187944,23189,0.123382496913974
5915,176037,19958,0.113373892988406
5916,155160,18390,0.118522815158546
5954,326050,41242,0.12648980217758
5958,266511,31080,0.116618075801749
5962,423818,49097,0.115844537041843
5966,136490,14629,0.107180013187779
5970,276834,32346,0.116842584364637
5974,296875,33303,0.112178526315789
5978,396060,46760,0.118062919759632
6411,143499,14179,0.098809050934153
6412,667925,63753,0.095449339371936
6413,113443,11866,0.104598785293055
6414,269121,29176,0.108412201203176
6431,260741,31576,0.121101015950694
6432,282601,32777,0.115983312160962
6433,251049,28579,0.113838334349071
6434,226130,27824,0.123044266572326
6435,400862,47282,0.117950815991538
6436,224059,26773,0.119490848392611
6437,96613,12146,0.125718071067041
6438,332328,39510,0.118888567920849
6439,180226,22614,0.12547579150622
6440,292573,33938,0.115998400399217
6531,251238,27398,0.109051974621673
6532,253441,29829,0.117696031818056
6533,170696,19510,0.114296761494118
6534,241226,25748,0.106738079643156
6535,108510,14166,0.130550179706939
6611,190765,20285,0.106335019526643
6631,216179,24308,0.112443854398438
6632,120694,15772,0.130677581321358
6633,234933,31353,0.133455070168942
6634,181850,23036,0.126675831729447
6635,158990,19748,0.124209069752815
6636,102124,14032,0.13740159022365
7111,107825,12692,0.117709251101322
7131,125885,16258,0.129149620685546
7132,130570,15453,0.118350310178448
7133,155599,18867,0.121253992634914
7134,82778,10653,0.128693614245331
7135,64187,8304,0.129371991213174
7137,210308,24847,0.118145767160545
7138,180672,21723,0.120234458023379
7140,102322,12254,0.119759191571705
7141,123203,15750,0.127837796157561
7143,200059,22762,0.113776435951394
7211,105671,10037,0.094983486481627
7231,112320,13641,0.12144764957265
7232,95774,10922,0.114039300854094
7233,61947,7993,0.129029654381972
7235,142228,15687,0.110294738026268
7311,46415,5659,0.121921792523969
7312,96341,10370,0.107638492438318
7313,43361,4334,0.099951569382625
7314,157584,17700,0.112321047822114
7315,200344,19973,0.099693527133331
7316,52164,6488,0.124376964956675
7317,40887,5278,0.129087485019688
7318,49540,5714,0.11534113847396
7319,79207,8914,0.11254055828399
7320,34200,4102,0.119941520467836
7331,125113,13579,0.108533885367628
7332,131085,16977,0.129511385742076
7333,76030,8703,0.114467973168486
7334,123913,13346,0.107704599194596
7335,105283,12150,0.115403246488037
7336,72783,9133,0.125482598958548
7337,108244,13211,0.1220483352426
7338,146868,18484,0.125854508810633
7339,200672,22343,0.111340894594164
7340,98426,12948,0.131550606547051
8111,585890,60832,0.103828363686016
8115,363949,40840,0.112213524422378
8116,502893,57922,0.115177582507611
8117,247407,29389,0.118788069860594
8118,509871,57140,0.112067562187298
8119,406874,46538,0.114379390179761
8121,116059,13160,0.113390603055343
8125,322813,34188,0.105906515536859
8126,107280,11471,0.106925801640567
8127,186353,19260,0.10335224010346
8128,130625,15775,0.120765550239234
8135,127817,15420,0.120641229257454
8136,306529,33725,0.110022216495014
8211,52315,7409,0.141622861511995
8212,289173,29983,0.103685337151117
8215,424121,48579,0.114540425963345
8216,222324,25839,0.116222270200248
8221,146751,13098,0.089253224850257
8222,290117,31687,0.109221452034869
8225,142810,16562,0.11597227084938
8226,524039,61149,0.116687880100527
8231,114411,12771,0.111623882319008
8235,151049,17243,0.114155009301617
8236,191353,21858,0.114228676843321
8237,115973,12641,0.10899950850629
8311,209629,18198,0.086810508088099
8315,247279,28799,0.116463589710408
8316,156453,17291,0.110518813956907
8317,410202,45472,0.110852701839581
8325,136478,15694,0.114992892627383
8326,203967,24782,0.121500046576162
8327,132213,14669,0.110949755319068
8335,266965,30657,0.114835278032701
8336,219003,24457,0.111674269302247
8337,163136,18890,0.115792958022754
8415,273353,30612,0.11198706434537
8416,211952,19545,0.092214274930173
