districtId,alpha_95PR,average_age,average_household_size,inhib_coef_april_01_14,mean_alpha_Mar_25_31,district_name,SES_highschool_dropouts,SES_residence_vacancies,SES_unemployment,RUR_surrounding_pop,SES_average_income,RUR_distance_to_urban_centers,SES_male_life_expectancy,SES_female_life_expectancy,SES_average_salary,RUR_area_share_farms_forests,RUR_settlement_density,SES_communal_tax_revenue,SES_net_migration,population_density,primary_care_capacity,hospital_capacity,share_of_nursing_home_care,average_living_area,RUR_share_of_1_2_family_homes,ruralness_index,socio_economic_status_index,cluster,total_population,population_60_plus,share_60_plus
3159,1.3699999999999999,44.75,2.1,-0.0026726890251691083,1.0626659788173025,Göttingen,4.65,53.3,7.85,199.5,2888.5,27.23125,77.25,82.2,2330.5,85.4,1296.9,599.0,1.4,170.0,68.95,91.9,37.25,49.6,87.9636904761905,1.0672410399906138,-0.765310552270582,4.0,324823.0,39155.0,0.120542572416362
3241,1.2739121552604697,43.2,2.0,-0.0017722131766147067,1.0391708494347618,Region Hannover,4.9,33.0,8.5,468.0,3194.0,17.4066666666667,78.4,83.4,2682.2,73.5,2216.4,814.0,6.9,492.0,59.5,62.6,33.2,45.2,85.9,-0.31336664938595726,1.4133972709616491,2.0,1102242.0,128196.0,0.11630476791847899
3251,1.4224598930481285,43.6,2.4,-0.016171860556043416,0.9455334508161481,Diepholz,4.4,31.2,4.6,227.0,2669.0,44.7391666666667,78.2,82.8,2074.2,84.5,837.3,736.0,4.4,106.0,47.8,22.9,28.9,51.6,93.9933333333333,1.9348023045132896,0.32084302042488866,4.0,211184.0,25847.0,0.12239090082582
3252,1.5,45.4,2.1,-0.0012290873773704689,1.1237599514766061,Hameln-Pyrmont,6.5,60.7,8.3,310.0,2970.0,40.9058333333333,76.9,82.1,2372.5,83.9,1302.8,622.0,1.4,186.0,69.0,75.0,33.3,51.9,86.9875,1.2202718204098113,-1.1409476353225876,4.0,150259.0,19849.0,0.132098576457983
3254,1.4535714285714283,44.0,2.2,-0.014179406450690676,0.9308659789755154,Hildesheim,5.7,49.8,7.9,338.0,2885.0,15.615,77.3,82.5,2264.8,82.6,1473.0,604.0,1.7,228.0,63.7,66.8,33.0,48.8,90.5263157894737,0.5792321755472938,-0.8176130413388201,4.0,277594.0,34393.0,0.1238967701031
3255,1.1742393509127789,45.5,2.3,-0.0017526136211930877,1.0545145386236312,Holzminden,6.6,72.8,8.3,216.0,2934.0,50.4,76.4,80.9,2363.7,87.4,959.2,605.0,-0.6,103.0,68.6,29.5,32.3,53.3,88.8833333333333,1.8989565687008216,-1.970075673218814,4.0,73547.0,10290.0,0.139910533400411
3256,1.359375,43.3,2.4,-0.024987271385700317,,Nienburg (Weser),5.9,43.1,6.2,214.0,2671.0,51.695,77.2,82.1,2172.8,84.3,749.3,598.0,0.8,86.0,53.5,26.5,31.0,51.3,93.11,2.123681814819027,-1.0473494143107747,4.0,122242.0,14316.0,0.11711195824675599
3257,1.486764705882353,44.8,2.2,-0.011435713377460978,0.9811048805732812,Schaumburg,3.5,57.5,7.6,346.0,2750.0,35.0566666666667,77.6,82.6,2127.4,79.9,1283.0,550.0,2.8,231.0,61.6,41.2,37.1,51.3,88.65,1.00060000583951,-0.7673356696411108,4.0,157497.0,20487.0,0.130078668165108
3351,1.4500000000000002,43.7,2.3,0.01624815810256073,1.0976695179311777,Celle,5.6,42.8,7.9,202.0,2984.0,18.8708333333333,77.4,82.6,2346.2,85.1,977.4,615.0,2.6,114.0,56.8,36.8,34.5,50.9,93.5,1.229186912033909,-0.39693311963082306,4.0,176690.0,21938.0,0.124160959873224
3352,1.561904761904762,44.7,2.3,-0.012720332170881624,0.9104414856467994,Cuxhaven,7.0,34.8,6.3,178.0,2670.0,27.8316666666667,77.4,82.1,1991.8,84.5,855.8,507.0,2.8,96.0,53.9,35.7,30.1,51.9,94.1538461538462,1.5496191303792082,-1.2337212811698717,4.0,198778.0,26948.0,0.13556832245017097
