districtId,Minijob,Zahnarzt,Krankenhausbetten,Hausarzt_je_EW,Grundsicherung,Soziooekonomische_Lage,Breitband,Baulandpreise,Facharzt,Tanken,Bevoelkerung_Auslaender,Schulabg_Hochschulreife,Wanderungen,GrosseZentren,Nahversorgung,vorschule,Lebenserwartung_maennlich,Wohnflaeche,Lebenserwartung_weiblich,Bevoelkerungspotenzial,Schulabg_ohne,WissensintensiveIndustrien,ALQ_gemittelt,Steuerkraft,BIP,ambulantePflege,SuV_Anteil,stationaerePflege,Schulden,Pflegegeld,BeschaeftigteOhne,ALQ,Laendlichkeit,Einkuenfte,LuW_Anteil,Thuenen-Typologie,SuV_Veraenderung,BeschaeftigteAkademisch,Bevoelkerungsdichte,Apotheke,Pflegedienst,Ein_Zwei_Fam_Haeuser,Polizei,Bevoelkerung_insgesamt,Wohnungsleerstand,Hausarzt,Siedlungsdichte,Freiflaeche,Natuerliche_Bev_Entwicklung,Lohn,Grundschule,Krippenkinder,district_name
3153,21.5,5.54833333333333,80.4,64.1,28.2,0.63,49.2,45.4,12.8546955128205,6.14666666666667,6,27.6,2.7,25.0266666666667,4.78166666666667,96.9,77.1,51.2,82.1,195,6.7,8.3,9.2,542,25300,19.5,10.9,39.3,1114,41.2,9.3,8.6,0.43,2727,87,4,,9.4,142,4.94833333333333,8.34166666666667,45.4,5.58333333333333,-1.7,69.7,5.48666666666667,1305.9,90.1,,2224.1,,31.6,LK Goslar
3154,20.8,5.10333333333333,85,51.7,17.7,0.69,81.4,75.3,12.4719982011575,5.61,4.4,34.4,4.5,13.73,5.5,93.6,76.1,51.3,81.2,228,5.6,5.8,7.8,503,19700,19.8,12.1,39.7,3685.7,40.5,10.1,7.2,0.57,2536,84,1,,7.8,135,5.50166666666667,6.82666666666667,75.3,5.08333333333333,0,69.5,5.52833333333333,1118.8,88.9,,2122,,33,LK Helmstedt
3155,20.7,6.11666666666667,33.4,79.2,17,0.46,69.8,42.8,14.3411349114656,8.27666666666667,4.1,35.9,-0.9,30.6791666666667,6.65583333333333,93.8,77.3,52,82.1,205,5.2,7.2,7.3,577,25600,27.4,11.6,30.1,1895.7,42.5,10.2,6.9,0.78,2757,87.2,1,,8.7,106,6.28916666666667,8.86833333333333,42.8,6.51666666666667,-1.9,64.9,5.4925,914.5,89.4,,2229.1,,27.9,LK Northeim
3402,17.8,7.01666666666667,70,64,33.5,,97.6,80.4,11.9468127060306,8.13333333333333,6.4,,3.5,75.1316666666667,6.33666666666667,91,74.1,45,79.1,194,,35,9.3,941,57300,23.9,27.8,25.9,1329.2,50.2,8.6,8.9,,3438,62.3,1,3.9,7.7,445,7.01,9.395,80.4,9.18333333333333,0.3,,10.52,1599.7,74,-3.97,2705.3,4.15,21.7,SK Emden
3158,25.1,5.395,24.7,47.5,21.4,0.01,95.5,115.7,14.324006304228,6.78666666666667,4.1,27.6,3,12.8766666666667,4.92166666666667,95.5,78.1,51.2,82.2,300,3.8,4.7,6.5,599,18500,20,12,33.6,1567.9,46.4,9.4,6,0.18,2786,86.5,4,,10.6,166,5.165,7.44666666666667,115.7,5.58333333333333,-0.3,71.85,5.33333333333333,1379.6,89.3,,2094.6,,30.2,LK Wolfenbüttel
3241,18.5,4.43166666666667,62.6,59.5,43.1,,93.4,166.1,10.3350606217933,5.255,10.6,41.6,6.9,17.4066666666667,4.03666666666667,94.1,78.4,45.2,83.4,468,4.9,8.1,8.5,814,40400,23.6,22.2,33.2,2529.8,43.2,11.3,8.2,-0.4,3194,73.5,5,,15,492,4.865,7.10666666666667,166.1,6.1,2,33,4.475,2216.4,80.6,,2682.2,,30.6,Region Hannover
3251,26.9,6.67666666666667,22.9,47.8,21.5,-0.14,69.1,64.7,16.023169847078,8.09833333333333,5.1,30.3,4.4,44.7391666666667,5.75333333333333,92.8,78.2,51.6,82.8,227,4.4,9.4,4.6,736,26600,25.7,12.7,28.9,739.9,45.4,11.4,4.6,0.7,2669,84.5,1,,6.9,106,7.47083333333333,8.37416666666667,64.7,8.2,0.6,31.2,6.485,837.3,88,,2074.2,,28.1,LK Diepholz
3254,21.6,4.72666666666667,66.8,63.7,21.1,0.19,65.2,102.4,13.0617064371361,5.50333333333333,5.6,38.1,1.7,15.615,4.565,95.1,77.3,48.8,82.5,338,5.7,11.3,7.9,604,25100,24.4,15.5,33,1897.8,42.6,11.3,7.4,0.26,2885,82.6,4,,11.2,228,5.24333333333333,6.85833333333333,102.4,5.48333333333333,-0.7,49.8,5.32166666666667,1473,86.2,,2264.8,,29.7,LK Hildesheim
3255,21.7,6.53333333333333,29.5,68.6,23.9,0.74,78.8,,15.7110842237586,7.335,4.6,19.9,-0.6,50.4,5.58333333333333,93.1,76.4,53.3,80.9,216,6.6,18,8.3,605,26700,27,10.8,32.3,1669,40.7,12.9,7.7,0.77,2934,87.4,1,,8.1,103,6.21666666666667,10.3516666666667,,6.61666666666667,-2.3,72.8,5.21333333333333,959.2,90.3,,2363.7,,23.8,LK Holzminden
3256,22,7.34333333333333,26.5,53.5,23.2,0.21,76.8,41.7,17.3056422079658,8.69333333333333,4.7,29.2,0.8,51.695,6.00583333333333,92.4,77.2,51.3,82.1,214,5.9,3.9,6.2,598,27800,21,11.4,31,1277.8,47.9,12.6,6.1,0.82,2671,84.3,1,,6,86,8.1275,11.4475,41.7,7.9,-1.4,43.1,7.23083333333333,749.3,89.1,,2172.8,,25.6,LK Nienburg (Weser)
