districtId,district_name,Schulabg_ohne_Abschluss,Schulabg_Hochschulreife,Wohnungsleerstand,ALQ_gemittelt,Bev_Potenzial,Einkommen,Distanz_grosse_Zentren,Lebenserwartung_Maenner,Lebenserwartung_Frauen,Lohn,Landw_Forstw_Anteil,Siedlungsdichte,Steuerkraft,Bev_Wanderung,ambulante_Pflege,Baulandpreise,Beschaeft_ohne_Berufsabschluss,Auslaender_Anteil,Bev_Entwicklung,Bev_Dichte,Breitband,Distanz_Grundschulen,Grundsicherung_Anteil,Hausarzt_pro_EW,Krankenhausbetten,Krippen_Quote,Pflegegeld,stationaere_Pflege,Grundschule_Quote,Wohnflaeche,Ein_Zwei_Fam_Haeuser,Nat_Bev_Entw,Strassen_Verkehr_Veraend,Dist_Apotheke,Beschaeft_akademisch,BIP_2014,Dist_Facharzt,Freiflaeche,Dist_Hausarzt,Minijob_Anteil,Dist_Lebensmittel,Dist_Pflegedient,Dist_Polizei,Kommunale_Schulden,Strassen_Verkehr_Anteil,Dist_Tankstellen,Wissensintensive_Industrien,Dist_Zahnarzt
1058,Rendsburg-Eckernförde,7.4,30,33.9,5.7,213,2778,24.065,78.6,82.8,2173.6,83.3,1090.4,605,2.6,20.6,88.3,10.4,3,-0.1,123,75.1,5.73333333333333,17.2,62.9,40.6,28.4,40.7,38.7,94.2,48.5,92.4,-3.554,3.585,7.24833333333333,8.7,26600,14.152533974543,89.8,5.805,24.8,5.935,8.90666666666667,6.28333333333333,750.5,11.3,6.93666666666667,5.8,6.54666666666667
1059,Schleswig-Flensburg,7.6,30.1,26.5,8.1,132,2565,25.6966666666667,78.4,82.3,2030.6,82.4,880.2,541,2.5,21.7,69.3,11.3,3.3,-0.1,94,65.9,5.4,19.6,59.8,34.1,33.4,35.7,42.6,93.1,50.4,93.3944444444444,-4.04388888888889,3.57777777777778,7.13833333333333,6,23600,15.8662532942425,89.9,5.84833333333333,26,5.84166666666667,8.82,7.26666666666667,986.5,10.7,7.30166666666667,1.4,6.12833333333333
1060,Segeberg,6.7,27.4,22.8,5.1,391,2816,22.485,79,82.8,2381.4,83.6,1477.5,733,6.1,15.2,87.3,11.5,5.3,1.5,197,87.4,5.83333333333333,20.9,54,64.1,35.1,40,44.8,94.9,44.9,91.9266666666667,-2.2,2.85625,7.79333333333333,8.8,28600,13.0812631711085,87.9,6.00333333333333,22.9,6.06666666666667,8.75833333333333,5.88333333333333,1074.3,13.3,8.22666666666667,9.3,6.90333333333333
1061,Steinburg,8.6,24.4,42,6.1,246,2815,42.3016666666667,77.1,81.9,2213.9,82,1120.4,650,2.3,19.8,70.9,11,4,-0.2,123,84.5,5.43333333333333,19.6,62.2,48.6,21.7,41,39.2,91.7,46.8,91.9,-4.308,1.22,6.49,7.8,30800,13.1331674782058,89.7,5.95166666666667,24.3,5.72166666666667,8.03333333333333,6.45,905.2,11,8.50833333333333,8.4,6.3
1062,Stormarn,5.2,42.6,21.4,4.2,596,2873,17.5208333333333,79.6,83.3,2444,80,1791.4,901,9.3,19.1,189.9,10.7,5,2.3,309,94.9,4.8,16.4,57.9,48.3,35.1,34.7,46.2,93,45.6,91.2333333333334,-2.50133333333333,2.80666666666667,6.67666666666667,9.1,30300,10.0006464455754,84.5,5.04166666666667,20.9,5.33333333333333,6.44666666666667,5.9,395,17.2,5.885,13.2,5.5125
2000,"KS Hamburg, Freie und Hansesta",6,54.3,15.8,7.7,2043,3444,1.97666666666667,78.5,83.2,3103.9,31.3,3905.7,1156,7.6,29.2,666.3,10.5,13.9,2.6,2334,99.3,2.36666666666667,65,66,65,43.3,39.3,31.5,92.5,38.9,67.4,0.55,0.9,3.18833333333333,19.6,59700,6.76296188898094,49,2.58666666666667,16.1,2.98333333333333,3.575,4.13333333333333,0,59.8,3.32416666666667,4,2.77
3101,KS Braunschweig,5.5,49.2,31.9,7.7,497,3247,1.30666666666667,77.6,83.1,2675.9,49.8,2751,815,8.3,22.8,152.9,10.3,8.5,1.9,1293,98.7,2.48333333333333,33.8,56.3,80.6,35.4,42.6,34.7,96.2,43.8,68.8,-2.15,0.8,2.88,17.9,43200,7.8321581336834,60.6,4.37666666666667,17.1,2.63166666666667,5.52,3.35,315,47,3.65,12.4,2.66166666666667
3102,"Salzgitter, Stadt",3.8,27.6,71.85,9.3,383,3785,1.505,76.2,81.4,3042,68.2,1542,795,3.8,18.7,71.2,9.4,10.7,0.4,442,94.5,3.53333333333333,31.9,65.7,46.8,19.6,53.2,28.1,93.8,46,75.6,-4.75,0.7,4.20666666666667,8.9,48700,15.4813453565506,75,7.0225,12.6,4.1125,6.28833333333333,4.91666666666667,3308.9,28.7,4.37166666666667,27.5,3.70416666666667
3103,KS Wolfsburg,4.2,41,38.1,5.4,310,4504,1.925,78.3,82.9,4039.1,65.4,1927.9,1846,8.8,18.7,107.6,5.5,11.7,1.8,603,95.7,3.2,17.2,50.4,46.7,32.7,52.3,29.1,98.1,45.1,80.2,-2.22,2,3.85,21,136200,10.0519334541428,73.4,6.27666666666667,8.2,3.15,5.74,5.68333333333333,0,31.3,4.49333333333333,56.2,3.42833333333333
3151,Gifhorn,4.8,28.1,30.5,5.5,199,2907,24.9516666666667,78.2,83.6,2059.4,85.8,1022.5,592,2.6,22,67.7,12.2,4.8,1,110,62.6,4.38333333333333,13.9,46.4,26.4,25.2,54.4,23.6,87.8,51.1,94.44,-1.359,2.91818181818182,6.94666666666667,12.5,17900,16.6787339940738,89.9,6.89333333333333,22.5,6.58166666666667,9.45166666666667,7.61666666666667,777.3,10.8,7.78333333333333,6.6,6.34833333333333
