OSM_ID,AGS_5
6265102,10041
6265100,10041
6265101,10041
2702000,1001
6260900,9571
6270900,9276
6239600,5916
6247600,5154
6274800,5114
6241000,5116
6269800,7334
6245000,16054
6243100,9576
6246400,9663
6246500,9663
6274600,6439
667985902,3159
667985901,3159
667985903,3159
6241600,3154
6264401,5911
6264400,5911
6263400,5512
6257300,7311
6263800,15002
6248100,15003
281285100,8116
6265400,9561
6268700,9474
6257400,12068
6256200,3402
6255000,3456
6239900,3356
6261700,3357
6234300,5378
6247800,5124
6245300,7319
6250200,15089
6242700,14521
6252800,1004
6235400,8237
6269101,8222
6269100,8222
280639000,8437
6262200,9772
6240600,9672
6237800,9472
6244800,9572
214517800,9477
6257500,9377
6260000,9190
6236900,12054
6278200,2000
6278201,2000
6278202,2000
173938100,13076
6242600,3251
6256700,3457
6237900,5754
6248000,5758
2702800,1051
6273300,1060
6246800,16067
6236500,16069
6258800,16068
281285000,8135
6238803,8216
6238802,8216
6238801,8216
6238800,8216
279698000,8415
279703600,8416
6249500,8421
6238900,9779
6251400,9575
6240004,6412
6240001,6412
6240003,6412
6240002,6412
6240000,6412
6256600,6434
208353500,3352
6272800,3256
6252201,5513
6252200,5513
6258400,7232
6247700,15086
6241200,8119
6238100,9161
6238102,9161
6238101,9161
6270100,9763
6265500,9185
6272700,9263
6263600,9263
6247000,12051
6252300,12053
143151700,13075
6271900,7320
6271901,7320
2701700,1058
2701400,1059
6264002,9462
6264000,9462
6264003,9462
6264001,9462
6258000,9184
6245800,9188
215636300,9189
6257100,12066
6235300,12069
6258101,6411
6258100,6411
6254300,6535
6268900,3451
6273100,3461
6235800,5770
6239100,7313
6265300,7337
6255200,16072
281285200,8117
6258700,8336
6240700,9761
6237100,9186
6239800,9778
6237600,12061
6236400,12072
6271500,6438
6261300,3155
6255800,3158
6240200,5958
6266100,5362
6243702,5970
6243703,5970
6243700,5970
6243701,5970
6243704,5970
6268000,7331
6243400,14729
6261800,16066
6261600,16063
6249300,16055
6246200,16055
6272100,8115
6260300,8335
6262600,8225
6271100,9271
6245700,9675
6264100,9677
6274400,9574
6259200,9277
6262800,12067
6277300,3455
6267400,3358
6274000,3361
182906500,5913
6249900,5915
6259100,5515
6259101,5515
6259102,5515
6259103,5515
6242300,5158
6270600,5570
6245400,7332
6264902,14713
6264901,14713
6264900,14713
6250000,16061
6243200,16074
6233900,16075
6237000,16056
279310400,8111
279310402,8111
279310403,8111
279310401,8111
6247200,9173
6262700,9461
6252500,9461
6259500,9179
6241500,9780
6241300,12063
6259800,6611
6259802,6611
6259801,6611
208349700,3353
208474600,3355
667985900,3159
6245601,5112
6245600,5112
6248300,5766
6237300,5374
189150600,5966
6263002,7315
6263000,7315
6263001,7315
19164501,14612
19164502,14612
19164503,14612
19164500,14612
6262100,16062
6254200,8128
6253000,9678
6242201,11000
6242200,11000
6242202,11000
6242203,11000
6242204,11000
6254000,3454
6249400,3157
6244000,5974
5874500,5170
6260400,16065
6268400,9176
6242800,9162
6242802,9162
6242803,9162
6242804,9162
6242801,9162
6253300,9777
6241400,3401
6276600,3252
6277900,5558
6235700,7132
6263200,7339
6274700,15001
6252600,15001
6252602,15001
6252601,15001
6234500,14626
6239400,8126
6268200,8327
6263300,9178
6272600,9180
6251500,9478
216823100,9182
6240100,6633
6259600,6437
6249600,6414
6249603,6414
6249602,6414
6249601,6414
173937900,13073
6251000,3255
6250800,5314
6250801,5314
6241700,5774
6241701,5774
6241703,5774
6241702,5774
6262300,7131
6273700,7333
6251100,14627
2702600,1057
6254600,1062
6249200,16077
6269302,16053
6269301,16053
6269303,16053
6269300,16053
280415600,8426
6253600,8118
279757300,8417
6261400,9273
6236800,6532
6273600,6634
6235500,3452
6266200,3354
6245501,5120
6245500,5120
6269900,5122
6242000,5978
6257200,7137
6257201,7137
6257203,7137
6257202,7137
6261000,7338
17267900,7211
17267901,7211
6247300,15088
6242500,15091
6244500,16076
6251800,8212
6270800,8136
6249700,9671
6234900,9762
6249800,9181
216823200,9183
6243000,12052
6268300,12052
6263700,6632
6251900,6440
180029700,5914
180029701,5914
6238500,5117
6236100,7235
6257900,10045
6260200,15081
6235900,15083
6235000,14522
6274500,16051
