districtId,district_name,SES_highschool_dropouts,SES_residence_vacancies,SES_unemployment,RUR_surrounding_pop,SES_average_income,RUR_distance_to_urban_centers,SES_male_life_expectancy,SES_female_life_expectancy,SES_average_salary,RUR_area_share_farms_forests,RUR_settlement_density,SES_communal_tax_revenue,SES_net_migration,Baulandpreise,population_density,primary_care_capacity,hospital_capacity,share_of_nursing_home_care,average_living_area,RUR_share_of_1_2_family_homes,total_population,population_60_plus,average_age,average_household_size,share_female
3355,Lüneburg,4.0,24.9,6.6,207.0,2728.0,18.945,77.6,82.7,2165.7,84.1,1175.4,582,7.4,82.8,135,66.2,48.1,36.5,46.8,92.2727272727273,174123,18844,41.8,2.2,0.5144524273071335
3356,Osterholz,5.0,27.2,4.6,358.0,2580.0,19.154166666666697,77.7,82.0,1985.7,80.1,1112.0,577,5.0,69.0,171,53.8,19.0,33.5,50.1,94.74285714285709,110907,13815,43.8,2.3,0.5107161856330078
3357,Rotenburg (Wümme),4.9,29.2,4.6,214.0,2689.0,40.185,77.7,82.7,2086.2,87.2,718.4,589,0.9,48.8,78,55.0,61.0,28.1,51.5,95.22307692307692,162726,18540,42.1,2.4,0.5009217949190664
3358,Heidekreis,6.5,41.2,7.0,173.0,2757.0,39.6091666666667,77.4,82.5,2168.7,74.9,768.4,563,2.6,45.3,73,49.9,36.1,32.2,50.4,92.4384615384616,136693,16673,43.4,2.3,0.5079630997929667
3359,Stade,4.8,27.7,6.4,329.0,2954.0,74.65,78.0,82.4,2256.7,79.8,1275.6,650,4.8,91.3,156,48.6,46.1,29.8,48.1,93.7545454545455,195450,22836,42.4,2.3,0.5027116909695575
3360,Uelzen,4.0,46.4,7.4,127.0,2586.0,33.9,76.7,81.1,2018.3,86.5,721.4,569,3.6,26.6,64,61.6,86.9,42.1,52.8,92.6166666666667,93595,12442,45.2,2.2,0.5145039799134569
3361,Verden,4.2,27.2,5.7,264.0,2801.0,24.0433333333333,78.7,82.5,2318.0,82.0,1119.5,755,3.9,93.6,169,60.8,19.7,34.7,50.7,92.9625,132300,15957,43.0,2.3,0.5123507180650038
3401,"Delmenhorst, Stadt",4.4,31.2,10.6,513.0,2724.0,10.1916666666667,77.3,82.2,1879.8,48.0,2486.2,506,7.0,94.2,1200,52.1,63.6,22.2,45.5,88.0,73322,9225,43.6,2.1,0.5107471154632989
3402,"Emden, Stadt",8.4,26.0,9.3,194.0,3438.0,75.1316666666667,74.1,79.1,2705.3,62.3,1599.7,941,3.5,80.4,445,64.0,70.0,25.9,45.0,87.1,49787,5889,42.5,2.1,0.5115190712434973
3403,KS Oldenburg (Oldenburg),5.0,15.6,8.5,369.0,2960.0,1.77583333333333,78.3,82.9,2362.0,36.0,2612.1,708,6.2,196.0,1562,62.8,104.5,31.2,47.9,83.8,157267,16221,41.8,2.0,0.5256347485486466
3404,KS Osnabrück,4.8,29.1,8.3,449.0,3048.0,1.4133333333333302,77.9,82.7,2321.5,48.0,2634.5,750,6.4,195.1,1310,72.7,126.5,32.4,45.2,70.1,153699,16043,42.3,2.0,0.5241738723088635
3405,"Wilhelmshaven, Stadt",4.4,41.7,12.6,188.0,3031.0,1.97333333333333,75.4,80.8,2356.3,48.7,1561.9,528,1.1,-99.0,707,71.5,87.8,32.8,48.0,69.9,77451,10556,45.4,1.9,0.509651263379427
3451,Ammerland,3.3,19.8,4.8,242.0,2652.0,18.915833333333303,78.6,83.3,2186.4,79.6,963.0,615,8.0,75.7,165,59.2,67.6,29.8,52.2,95.1333333333333,117912,14404,43.0,2.3,0.510626568966687
3452,Aurich,8.4,26.0,7.9,149.0,2573.0,59.118333333333304,76.5,81.5,1921.1,78.4,994.9,714,4.9,50.9,146,62.2,36.8,18.1,51.9,92.8066666666667,187135,22950,43.0,2.3,0.5117268282256126
3453,Cloppenburg,5.2,17.8,5.7,191.0,2512.0,35.01,77.2,83.0,2008.2,82.3,822.0,586,4.9,57.9,115,51.1,30.5,23.2,48.2,96.2076923076923,159337,14381,39.1,2.8,0.49655133459271855
3454,Emsland,4.6,17.9,3.8,197.0,2828.0,59.6683333333333,78.0,83.0,2176.8,81.5,808.9,654,4.5,44.7,110,51.9,55.1,17.2,50.4,96.3,311089,32214,40.9,2.6,0.4972242670104054
3455,Friesland,4.4,41.7,6.4,168.0,2695.0,20.3575,77.8,82.0,2119.7,80.3,972.2,508,1.9,69.5,160,61.9,46.8,31.1,53.3,92.1625,98229,13430,44.6,2.2,0.51277117755449
3456,Grafschaft Bentheim,6.2,18.2,4.7,283.0,2686.0,64.9466666666667,78.8,83.2,2023.7,81.6,959.0,571,2.7,77.6,137,59.6,44.6,25.9,49.5,96.37142857142858,133395,14954,41.8,2.5,0.5037295250946437
3457,Leer,8.0,24.2,7.0,191.0,2622.0,49.8766666666667,77.0,81.5,1922.1,75.9,1015.2,492,6.2,45.5,153,55.5,42.2,23.5,50.7,95.7833333333333,163832,18996,42.2,2.4,0.5066287416377753
3458,Oldenburg (Oldenburg),4.9,21.8,4.9,295.0,2538.0,19.163333333333302,78.6,82.3,2000.3,83.6,838.4,638,6.3,70.2,119,51.3,18.8,34.3,50.1,95.425,125014,14648,42.8,2.4,0.5073511766682132
